"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity","codeListId","codeListParentId"
"BR-BT-00766-0052","value_check","BT-766-Lot","The BT-766-Lot Dynamic Purchasing System must contain one of the values of the code list dps-usage.","NULL","NULL","NULL","all","ERROR","dps-usage","NULL"
"BR-BT-00766-0103","value_check","BT-766-Part","The BT-766-Part Dynamic Purchasing System must contain one of the values of the code list dps-usage.","NULL","NULL","NULL","all","ERROR","dps-usage","NULL"
"BR-BT-00769-0052","value_check","BT-769-Lot","The BT-769-Lot Multiple Tenders must contain one of the values of the code list permission.","NULL","NULL","NULL","all","ERROR","permission","NULL"
"BR-BT-00771-0052","value_check","BT-771-Lot","The BT-771-Lot Late Tenderer Information must contain one of the values of the code list missing-info-submission.","NULL","NULL","NULL","all","ERROR","missing-info-submission","NULL"
"BR-BT-00773-0052","value_check","BT-773-Tender","The BT-773-Tender Subcontracting must contain one of the values of the code list applicability.","NULL","NULL","NULL","all","ERROR","applicability","NULL"
"BR-BT-00774-0051","value_check","BT-774-Lot","The BT-774-Lot Green Procurement must contain one of the values of the code list environmental-impact.","NULL","NULL","NULL","all","ERROR","environmental-impact","NULL"
"BR-BT-00775-0051","value_check","BT-775-Lot","The BT-775-Lot Social Procurement must contain one of the values of the code list social-objective.","NULL","NULL","NULL","all","ERROR","social-objective","NULL"
"BR-BT-00776-0051","value_check","BT-776-Lot","The BT-776-Lot Procurement of Innovation must contain one of the values of the code list innovative-acquisition.","NULL","NULL","NULL","all","ERROR","innovative-acquisition","NULL"
"BR-BT-00783-0052","value_check","BT-783-Review","BT-783-Review must contain one of the values of the code list review-status.","NULL","NULL","NULL","all","ERROR","review-status","NULL"
"BR-BT-00790-0051","value_check","BT-790-Review","BT-790-Review must contain one of the values of the code list review-decision-type.","NULL","NULL","NULL","all","ERROR","review-decision-type","NULL"
"BR-BT-00791-0051","value_check","BT-791-Review","BT-791-Review must contain one of the values of the code list irregularity-type.","NULL","NULL","NULL","all","ERROR","irregularity-type","NULL"
"BR-BT-00792-0051","value_check","BT-792-Review","BT-792-Review must contain one of the values of the code list remedy-type.","NULL","NULL","NULL","all","ERROR","remedy-type","NULL"
"BR-BT-00796-0052","value_check","BT-796-Review","BT-796-Review must contain one of the values of the code list indicator.","NULL","NULL","NULL","all","ERROR","indicator","NULL"
"BR-BT-00799-0052","value_check","BT-799-ReviewBody","BT-799-ReviewBody must contain one of the values of the code list review-body-type.","NULL","NULL","NULL","all","ERROR","review-body-type","NULL"
"BR-BT-00801-0051","value_check","BT-801-Lot","The BT-801-Lot Non Disclosure Agreement must contain one of the values of the code list nda.","NULL","NULL","NULL","all","ERROR","nda","NULL"
"BR-BT-00805-0051","value_check","BT-805-Lot","The BT-805-Lot Green Procurement Criteria must contain one of the values of the code list gpp-criteria","NULL","NULL","NULL","all","ERROR","gpp-criteria","NULL"
"BR-BT-01711-0100","value_check","BT-1711-Tender","The BT-1711-Tender Tender Ranked must contain one of the values of the code list indicator.","NULL","NULL","NULL","all","ERROR","indicator","NULL"
"BR-BT-05071-0154","value_check","BT-5071-Procedure","The BT-5071-Procedure Place Performance Country Subdivision must contain one of the values of the code list nuts.","NULL","NULL","NULL","all","ERROR","nuts-lvl3","nuts"
"BR-BT-05071-0155","value_check","BT-5071-Part","The BT-5071-Part Place Performance Country Subdivision must contain one of the values of the code list nuts.","NULL","NULL","NULL","all","ERROR","nuts-lvl3","nuts"
"BR-BT-05071-0156","value_check","BT-5071-Lot","The BT-5071-Lot Place Performance Country Subdivision must contain one of the values of the code list nuts.","NULL","NULL","NULL","all","ERROR","nuts-lvl3","nuts"
"BR-BT-05141-0154","value_check","BT-5141-Procedure","The BT-5141-Procedure Place Performance Country Code must contain one of the values of the code list country.","NULL","NULL","NULL","all","ERROR","eforms-country","country"
"BR-BT-05141-0155","value_check","BT-5141-Part","The BT-5141-Part Place Performance Country Code must contain one of the values of the code list country.","NULL","NULL","NULL","all","ERROR","eforms-country","country"
"BR-BT-05141-0156","value_check","BT-5141-Lot","The BT-5141-Lot Place Performance Country Code must contain one of the values of the code list country.","NULL","NULL","NULL","all","ERROR","eforms-country","country"
