"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity","patternId"
"BR-BT-00124-0103","pattern_matching","BT-124-Lot","The specified BT-124 Tool Atypical URL value must comply the URL pattern","NULL","NULL","NULL","all","ERROR","URL"
"BR-BT-00124-0104","pattern_matching","BT-124-Part","The specified BT-124 Tool Atypical URL value must comply the URL pattern","NULL","NULL","NULL","all","ERROR","URL"
"BR-BT-00125-0154","pattern_matching","BT-125(i)-Lot","The BT-125 Previous Planning Identifier must match the 'ProcedureVersionIDOrPublicationNumber' pattern at Lot level.","NULL","NULL","NULL","all","ERROR","ProcedureVersionIDOrPublicationNumber"
"BR-BT-00125-0155","pattern_matching","BT-125(i)-Part","The BT-125 Previous Planning Identifier must match the 'ProcedureVersionIDOrPublicationNumber' pattern at Part level.","NULL","NULL","NULL","all","ERROR","ProcedureVersionIDOrPublicationNumber"
"BR-BT-00127-0052","pattern_matching","BT-127-notice","The BT-127 Future Notice must match the 'date' pattern at Notice level.","NULL","NULL","NULL","all","ERROR","Date"
"BR-BT-00130-0052","pattern_matching","BT-130-Lot","The BT-130 Dispatch Invitation Tender must match the 'date' pattern at Lot level.","NULL","NULL","NULL","all","ERROR","Date"
"BR-BT-00131-0052","pattern_matching","BT-131(d)-Lot","The BT-131 Deadline Receipt Tenders must match the 'zoned date' pattern at Lot level.","NULL","NULL","NULL","all","ERROR","Date"
"BR-BT-00131-0104","pattern_matching","BT-131(t)-Lot","The BT-131 Deadline Receipt Tenders must match the 'zoned time' pattern at Lot level.","NULL","NULL","NULL","all","ERROR","Time"
"BR-BT-00132-0052","pattern_matching","BT-132(d)-Lot","The BT-132 Public Opening Date must match the 'zoned date' pattern at Lot level.","NULL","NULL","NULL","all","ERROR","Date"
"BR-BT-00132-0104","pattern_matching","BT-132(t)-Lot","The BT-132 Public Opening Date must match the 'zoned time' pattern at Lot level.","NULL","NULL","NULL","all","ERROR","Time"
"BR-BT-00137-0154","pattern_matching","BT-137-Part","The BT-137 Purpose Lot Identifier must match the 'PartID' pattern at Part level.","NULL","NULL","NULL","all","ERROR","PartID"
"BR-BT-00137-0155","pattern_matching","BT-137-Lot","The BT-137 Purpose Lot Identifier must match the 'LotID' pattern at Lot level.","NULL","NULL","NULL","all","ERROR","LotID"
"BR-BT-00137-0156","pattern_matching","BT-137-LotsGroup","The BT-137 Purpose Lot Identifier must match the 'GroupID' pattern at LotsGroup level.","NULL","NULL","NULL","all","ERROR","GroupID"
"BR-BT-00145-0052","pattern_matching","BT-145-Contract","The BT-145 Contract Conclusion Date must match the 'date' pattern at Contract level.","NULL","NULL","NULL","all","ERROR","Date"
"BR-BT-00151-0053","pattern_matching","BT-151-Contract","The specified BT-151 Contract URL value must comply the URL pattern","NULL","NULL","NULL","all","ERROR","URL"
"BR-BT-00198-0052","pattern_matching","BT-198(BT-118)-NoticeResult","The BT-198 Unpublished Acces Date must match the 'date' pattern at NoticeResult level.","NULL","NULL","NULL","all","ERROR","Date"
"BR-BT-00198-0104","pattern_matching","BT-198(BT-161)-NoticeResult","The BT-198 Unpublished Acces Date must match the 'date' pattern at NoticeResult level.","NULL","NULL","NULL","all","ERROR","Date"
